images,dataset_name,exp032,exp033,exp034,exp035,exp036,exp037,exp038,disagreement
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_nd5g1W3UKvcvrZtNnTw4Hg_heading_26_pitch_-3.png,no_unknown,1,0,1,1,1,1,1,0.8571428571428571
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_g62rBORHj5ts66BCxCQuvw_heading_40_pitch_1.png,no_unknown,1,1,1,1,1,1,1,1.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_Nlc1paFBOv7S5m25l9RwfA_heading_137_pitch_1.png,no_unknown,1,1,1,1,1,1,1,1.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_eGcNi3BLE_WMoT3qzplQnA_heading_199_pitch_0.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_TYEm4kFkVCEgJDQyf--HGQ_heading_208_pitch_0.png,no_unknown,1,1,1,1,1,1,1,1.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_0kQ3JqCesucLj3IoI66mxA_heading_133_pitch_-3.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_VETSKwVx8Ugq6WG3VmW-tg_heading_2_pitch_0.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_CFIkrVUN2GvZdyv-JXNpUg_heading_304_pitch_-1.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_B1YtN5_5a4YzvuClSfJgCg_heading_351_pitch_0.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_QcKGCC43R2oW-H-c61-H6A_heading_97_pitch_0.png,no_unknown,0,0,0,0,1,0,0,0.14285714285714285
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_5vqx_Osy_V4iGRWpBveW-A_heading_179_pitch_0.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_NHhicwdWXJohoGqfdgFikQ_heading_190_pitch_0.png,no_unknown,1,1,1,1,1,1,1,1.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_Tv8xSea7I6dWWLeJfFczRw_heading_108_pitch_2.png,no_unknown,0,0,0,0,0,0,1,0.14285714285714285
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_8KlbdxtMlS2BIf3PiqNHXA_heading_55_pitch_-1.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_Ryh0uyC0wZ6FjyRE4m55eQ_heading_37_pitch_6.png,no_unknown,1,1,1,1,1,1,1,1.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_aUrnTwt_ltTnvJ0o1uKfDg_heading_217_pitch_0.png,no_unknown,1,1,0,0,0,0,0,0.2857142857142857
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_WlawFXEQCHZK2OSSwPcCqw_heading_219_pitch_3.png,no_unknown,0,1,1,1,1,1,1,0.8571428571428571
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_RJvIqA31UAb-8iNBvMEQaQ_heading_41_pitch_-1.png,no_unknown,1,1,1,1,1,1,1,1.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_edYkVBW30vyIhzkWK3vR2Q_heading_322_pitch_0.png,no_unknown,0,1,0,0,0,0,0,0.14285714285714285
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_m6dMUdxuyWnBxFm2f7zvjg_heading_92_pitch_-3.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_LWMdCV4pebRLG5COvk1ztA_heading_314_pitch_0.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_C14knX2fx9KAwxdhQGxFnw_heading_162_pitch_-3.png,no_unknown,1,1,1,1,1,1,1,1.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_BLzs4o3BkmDzV9ZZu8tQSQ_heading_359_pitch_-6.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_jphwt4C_6blMxjMaFfuBAQ_heading_242_pitch_-2.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_QgcINQE8XvvBEem2JSQzvw_heading_221_pitch_4.png,no_unknown,1,1,1,0,0,1,1,0.7142857142857143
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_ilCusu3YLHLK6QNb4d6rKQ_heading_144_pitch_0.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_AKaleDJkUKSvu00UWCkOKA_heading_356_pitch_4.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_4OCcTTf8kesM2GcRa12csg_heading_21_pitch_2.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_o7lqB_wb791rN7uO8R4ngw_heading_182_pitch_2.png,no_unknown,0,1,1,1,1,1,1,0.8571428571428571
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_9ys22h4PpePrX2B8qt0ZGQ_heading_260_pitch_7.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_3k2wfORySbSlA6KX-WJeLw_heading_3_pitch_0.png,no_unknown,1,0,1,1,1,0,0,0.5714285714285714
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_D9RWAY97CjaHrCTvUYYnBA_heading_186_pitch_0.png,no_unknown,1,1,1,1,1,1,1,1.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_CH_BxNIGnaPySElbeYhxGA_heading_104_pitch_-7.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_ESyMp3kx9L9VeluKiZw3EQ_heading_280_pitch_4.png,no_unknown,1,1,1,1,1,1,1,1.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_Jp14ZDlLSBrbbsHScA5Daw_heading_153_pitch_1.png,no_unknown,1,1,1,1,1,1,1,1.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_jhGhFuO373VEAm1U2bNJKg_heading_282_pitch_-1.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_YdNGFgg4msiurrrCWvkz2Q_heading_238_pitch_-9.png,no_unknown,1,1,1,1,1,1,1,1.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_9_-q4lJZP0MhegYyJ74MvQ_heading_351_pitch_-2.png,no_unknown,0,0,1,0,1,1,0,0.42857142857142855
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_HamKrnnIAF40CFso9ORIQA_heading_88_pitch_2.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_smfee9DgAPK-OtyfVdDU-A_heading_193_pitch_-1.png,no_unknown,0,0,0,1,0,0,0,0.14285714285714285
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_Gap4dT_b4abGk-eq4LDKHA_heading_51_pitch_-3.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_GoNdvlKLXbHSzph7_FzYog_heading_236_pitch_-4.png,no_unknown,1,1,1,1,0,1,1,0.8571428571428571
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_yuGY8GC_ycXHcCocUmgP9Q_heading_36_pitch_1.png,no_unknown,1,1,1,1,1,1,1,1.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_SFPsmezt9LOixuAnWPUnpQ_heading_295_pitch_-1.png,no_unknown,1,1,1,1,1,1,1,1.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_d-9pJAFTBrnArTZSFhHN4w_heading_273_pitch_0.png,no_unknown,0,0,0,0,1,0,0,0.14285714285714285
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_7LTPaKgnJhZCgStTv0OFFg_heading_195_pitch_0.png,no_unknown,1,0,1,1,0,1,1,0.7142857142857143
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_Kp6-rfUzd-JkJYSxyz2_gQ_heading_136_pitch_0.png,no_unknown,1,1,1,1,1,1,1,1.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_tGBGcP8mYfyCfgaieXnrwA_heading_326_pitch_4.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_AuO26z6i0XHCPCkSQ4XAVQ_heading_170_pitch_1.png,no_unknown,1,1,1,1,1,1,1,1.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_IyM5Q8zH-Aw6U2k_QkFRFw_heading_68_pitch_6.png,no_unknown,1,0,0,1,1,1,0,0.5714285714285714
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_E80yLbLT4FjT4MzXJKtuIw_heading_27_pitch_-1.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_oCHgtR9ZyqhGPrISQUouiQ_heading_175_pitch_-1.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_mB-UlpIuhlbqB-ojTKUrgQ_heading_247_pitch_-1.png,no_unknown,1,1,1,1,0,1,1,0.8571428571428571
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_j_DCnz41vVshxUfRn9g5Ng_heading_47_pitch_2.png,no_unknown,1,1,1,1,1,1,1,1.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_28mPa-Kmia2_qqT3k-mpRQ_heading_117_pitch_0.png,no_unknown,0,1,0,1,1,0,1,0.5714285714285714
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_UcYREonze0UTe2zWxbnj2g_heading_39_pitch_-1.png,no_unknown,1,1,1,1,1,1,1,1.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_5mDpEzI_JFrNKTrVSczQIQ_heading_152_pitch_-2.png,no_unknown,1,0,0,0,0,0,0,0.14285714285714285
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_xFObgW7PXMB8KiEf7S26Cw_heading_315_pitch_-2.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_UwQKlRPLwuh9JEXayQxQOg_heading_121_pitch_1.png,no_unknown,0,1,1,1,1,1,1,0.8571428571428571
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_BbwbpIs2--qQeEMZ6MmShw_heading_340_pitch_-2.png,no_unknown,0,0,0,0,0,1,0,0.14285714285714285
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_8wJdDsGMjqTU3NAsQsrJVw_heading_297_pitch_5.png,no_unknown,0,1,0,0,0,0,1,0.2857142857142857
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_KLvWfhCASTB9H1sh3CHErQ_heading_314_pitch_-1.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_L8clnozGWuKvMTaGD0a7Mg_heading_143_pitch_0.png,no_unknown,0,0,0,0,0,1,0,0.14285714285714285
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_3QklS0wm6MG363wjd3k0LA_heading_38_pitch_-1.png,no_unknown,1,1,1,1,1,1,1,1.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_dQGdcK__FyuoHbBq_W6onQ_heading_169_pitch_0.png,no_unknown,0,1,0,0,0,0,0,0.14285714285714285
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_mbqtidwUwB1rkoSDQph9CA_heading_327_pitch_0.png,no_unknown,1,0,1,1,0,1,1,0.7142857142857143
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_db6GPwKPDlUUnhN8yvRDmg_heading_355_pitch_2.png,no_unknown,1,0,1,1,0,1,0,0.5714285714285714
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_HONob9Nw1tyY_jE5KF43ZQ_heading_59_pitch_0.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_JHBKr1Ha037v2OeaeRppgg_heading_287_pitch_0.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_wQvVYOvj0uYKql5M_XLOYg_heading_315_pitch_0.png,no_unknown,1,1,1,1,1,1,1,1.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_SGMRlUkpM7klTDp2f3SM0Q_heading_142_pitch_0.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_opLo-aDHgDLYMTXhVGLDuA_heading_250_pitch_2.png,no_unknown,1,0,1,1,1,1,1,0.8571428571428571
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_18kY8mkQpsm9r0cyufbPkg_heading_258_pitch_-3.png,no_unknown,1,1,1,1,1,1,1,1.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_74P4g74Z_4AtTD46YMANfw_heading_93_pitch_-7.png,no_unknown,1,1,1,1,1,1,1,1.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_4pquyjJgz78gKtnKvSs2hQ_heading_306_pitch_-2.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_w3xhSY9q43KSqgQyHTQZfQ_heading_79_pitch_7.png,no_unknown,1,1,1,1,0,1,1,0.8571428571428571
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_4mFz8w6u3bdx39OnOUtfzQ_heading_30_pitch_0.png,no_unknown,1,1,1,1,1,1,1,1.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_eHqyLAH3u1xd-tRfz4qPjA_heading_151_pitch_0.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_G-UZrWsdvKmUu9jDE2WgEw_heading_95_pitch_4.png,no_unknown,0,0,0,1,0,0,1,0.2857142857142857
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_5P_owOFykvis948eWKBINg_heading_140_pitch_0.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_-2mbhhqB2V4uUXkHbE052Q_heading_325_pitch_1.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_tzDfnjz0nfl86SYS5_NneQ_heading_205_pitch_1.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_5NGPAjgcEWSQEuEEboKK_w_heading_163_pitch_-4.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_pIsuA8l6s5xwi9DNdKVPGA_heading_292_pitch_-5.png,no_unknown,1,1,1,1,1,1,1,1.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_uspRASWCdHnpvvcKIEEc4Q_heading_172_pitch_4.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_MIOYy7zX_8tb5lTAK0r9Xw_heading_218_pitch_0.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_960IV3lqWBJEH9fP0Yy0SA_heading_254_pitch_0.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_CzRroXxmgQSUteAzgn3kjQ_heading_344_pitch_6.png,no_unknown,1,0,0,0,1,0,0,0.2857142857142857
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_4fl4LW6RMDJ5OFED4k9tfQ_heading_327_pitch_4.png,no_unknown,0,1,1,0,0,1,0,0.42857142857142855
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_6nqa6anrP9oFeZ8dmgMwRQ_heading_170_pitch_-2.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_oU6VXD-IaQgYgeH0Jd0aaA_heading_220_pitch_1.png,no_unknown,1,1,1,1,1,1,1,1.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_BH5Fk6m3LEv4D-GkK_WfWg_heading_30_pitch_-2.png,no_unknown,1,1,1,1,1,0,1,0.8571428571428571
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_T8JAlwdjTzdB0BZ-FwTmfA_heading_244_pitch_0.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_jegR-9kdE3Ll4YGKKAIdEA_heading_326_pitch_0.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_K3fvIo9qk7CVOBr36imYjg_heading_256_pitch_-4.png,no_unknown,1,1,1,1,1,1,1,1.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_AUVFuJLwiC05oLIssm6Q4g_heading_201_pitch_0.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_hfWLpoYZzLnffuGWzMVdiQ_heading_177_pitch_-1.png,no_unknown,1,0,1,1,1,0,1,0.7142857142857143
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_2ScOOsqGFgauLdYc0rZP8A_heading_268_pitch_0.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_9CV8MJTJxtHHNwiN72rcdw_heading_117_pitch_1.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_VoBi0yIMnMMKh21wi5KVZQ_heading_233_pitch_-10.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_Y3EyU5YKQUh8f_YU3iLrSQ_heading_270_pitch_1.png,no_unknown,1,1,1,1,1,1,1,1.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_Lbao2PZkoOKJquJ6isAp5g_heading_320_pitch_1.png,no_unknown,1,1,1,1,1,1,1,1.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_7Ewkd2wQqDGGOcFlUZMfjw_heading_3_pitch_0.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_x9b5jIKjY7CEfG6NEbH9fg_heading_91_pitch_1.png,no_unknown,1,0,1,1,1,1,1,0.8571428571428571
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_4l9v9_MIbViDFknPoEhQBg_heading_273_pitch_-4.png,no_unknown,1,1,1,1,1,1,1,1.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_IUxZRPusWjznoqBSLM984w_heading_270_pitch_1.png,no_unknown,0,1,0,1,0,0,0,0.2857142857142857
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_ErnYWXHpUipom3rMu2t_uQ_heading_263_pitch_1.png,no_unknown,1,0,0,1,0,1,1,0.5714285714285714
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_7Y_r4Ls3t625EhR9Vl22ww_heading_229_pitch_1.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_utSGnmLj4nJi8PvynnhZeA_heading_220_pitch_-1.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_4U3qXnMYUyEthAQzqZOX2w_heading_265_pitch_-2.png,no_unknown,1,1,1,1,1,1,1,1.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_bmX2xJOqG5N0w28jOd3pbQ_heading_358_pitch_-1.png,no_unknown,1,1,1,0,1,1,1,0.8571428571428571
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_n-B4mWc8-8hQAZDldWFt7g_heading_109_pitch_0.png,no_unknown,1,1,1,1,1,1,1,1.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_8G5fEmpXAfBVHtEwuITgzA_heading_19_pitch_0.png,no_unknown,1,0,1,1,1,1,1,0.8571428571428571
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_ath3uy_88X62o12x2NHxug_heading_315_pitch_0.png,no_unknown,1,1,1,1,1,1,1,1.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_WqKKpqhj3Aaxr2pGuMTKOA_heading_316_pitch_-2.png,no_unknown,1,1,1,1,1,1,1,1.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid__w5i5PUqMUmcL8I3P6kXiw_heading_220_pitch_0.png,no_unknown,0,0,1,0,1,1,1,0.5714285714285714
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_4wjmQVJQkT4v_TSV8ZkJPQ_heading_54_pitch_5.png,no_unknown,1,1,1,1,1,1,1,1.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_6GBDtpAHEbdcK2wJaCX1nQ_heading_172_pitch_3.png,no_unknown,1,0,1,1,1,1,1,0.8571428571428571
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_5XAtYg36Eq1gBRHq-54CjQ_heading_126_pitch_4.png,no_unknown,0,1,1,1,0,0,1,0.5714285714285714
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_PDVwxGHx_Hl6m05BVsUTmA_heading_240_pitch_-3.png,no_unknown,1,1,1,1,1,1,1,1.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_Gw70HsqlOk07rb-e8rmAPA_heading_64_pitch_0.png,no_unknown,1,1,1,1,1,1,1,1.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_F3ToQJZ96IEnsbnHiD9gzQ_heading_80_pitch_-1.png,no_unknown,1,1,0,0,1,0,0,0.42857142857142855
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_6CNdsHa7NJRJnPsf_u4TKw_heading_345_pitch_0.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_uSrPpVKH0XTCM7tBtWnGFw_heading_308_pitch_-1.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_HrnJM1WiDyP5up1SsaCqeg_heading_127_pitch_0.png,no_unknown,1,0,1,1,0,0,1,0.5714285714285714
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_gSYA3EDVxxScMKVURxXtYA_heading_241_pitch_0.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_3CbJEWkM50lB3YUnKxcgJQ_heading_23_pitch_0.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_MliCHQTWaKUEUaKasMqX4g_heading_139_pitch_-2.png,no_unknown,0,0,0,0,0,0,0,0.0
